0,0,0,-90,0,90,0
26,-28,53,-133,24,113,66
9,-6,49,-120,5,116,55
-130,-43,154,-42,17,82,28
-63,-5,35,-121,3,117,-29
-71,9,28,-106,-4,114,-42
-103,-23,22,-139,10,116,-86
